Mysuru,Moscow,Saint-Petersburg,Yekaterinburg,Krasnaya Polyana,Novosibirsk,Minsk,Kyiv,Astana,Almaty
2026-01-03,,,,,,,,,
2026-01-18,,,,,,,,,
2026-02-01,,,,,,,,,
2026-02-17,,,,,,,,,
2026-03-03,,,,,,,,,
2026-03-19,2026-03-18,2026-03-18,NaN,2026-03-18,,2026-03-18,2026-03-18,,
2026-04-02,2026-04-01,2026-04-01,,2026-04-01,,2026-04-01,2026-04-01,,
2026-04-17,,,,,,,,,
2026-05-01,,,,,,,,,
2026-05-16,,,NaN,,NaN,,,NaN,NaN
2026-05-31,,,,,,,,,
2026-06-15,,,,,,,,,
2026-06-29,,,,,,,,,
2026-07-14,,,,,,,,,
2026-07-29,,,,,,,,,
2026-08-12,,,,,,,,,
2026-08-28,,,,,,,,,
2026-09-11,,,,,,NaN,,,
2026-09-26,,,,,,,,,
2026-10-10,,,,,,,,,
2026-10-26,NaN,NaN,,,,NaN,NaN,,
2026-11-09,,,,,,,,,
2026-11-24,,,,,,,,,
2026-12-08,,,,,,,,,
2026-12-24,2026-12-23,2026-12-23,NaN,NaN,NaN,2026-12-23,2026-12-23,NaN,NaN
